Location,Easting (GDA 94 MGA Zone 56),Northing (GDA 94 MGA Zone 56)
1,350033,7048010
2,342380,7056737
3,342758,7054371
4,347082,7049227
5,351960,7067211
6,354931,7066259
7,353829,7065016
8,345309,7065736
9,343168,7062331
10,346952,7049270
,,
11,343741,7054626
,,
12,340556,7060027
,,
13,351884,7048043
,,
14,346268,7053150
,,
16,343622,7055412
,,
20,360468,7053207
,,
21,361043,7052496
,,
22,361593,7052771
,,
23,360955,7054145
,,
24,361537,7054584
,,
25,354861,7045738
,,
26,357095,7044834
,,
28,360921,7046323
,,
29,361415,7047048
,,
30,361666,7047837
31,362298,7048170
32,361380,7049457
33,361337,7050441
34,361194,7050869
35,362022,7050561
36,362405,7050628
37,361634,7051348
38,361197,7051645
39,362586,7053229
40,361823,7053471
41,361184,7053912
42,361123,7055114
43,361049,7056001
44,361214,7056338
45,362016,7056910
46,362034,7057017
47,361305,7057765
48,361379,7057845
,,
49,362424,7058080
,,
50,362790,7059247
,,
51,345185,7065765
,,
52,344044,7067709
,,
53,344181,7067739
,,
54,346939,7068582
,,
55,347641,7068732
,,
56,346466,7069964
,,
57,342147,7061956
,,
100,362390,7047474
,,
101,362258,7047717
,,
102,361429,7047054
,,
105,362824,7047800
,,
110,346273,7053106
,,
111,346302,7053163
128,353436,7062729
